,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
305,2022,6,14,17,8.0,41.49,21.0,Summer,1771,0.15
306,2022,6,14,18,8.63,12.45,19.47,Summer,1856,0.2
307,2022,6,14,19,9.02,0.0,17.98,Summer,1866,0.2
308,2022,6,14,20,8.64,0.0,16.82,Summer,1694,0.2
309,2022,6,14,21,7.76,0.0,15.95,Summer,1559,0.15
310,2022,6,14,22,7.33,0.0,15.38,Summer,1479,0.15
311,2022,6,14,23,7.12,0.0,14.99,Summer,1384,0.05
312,2022,6,15,0,6.75,0.0,14.7,Summer,1109,0.05
313,2022,6,15,1,6.52,0.0,14.48,Summer,1170,0.05
314,2022,6,15,2,6.37,0.0,14.32,Summer,1164,0.05
315,2022,6,15,3,6.14,0.0,14.22,Summer,1139,0.05
316,2022,6,15,4,5.77,10.22,14.18,Summer,1136,0.05
317,2022,6,15,5,5.48,27.07,14.38,Summer,1167,0.05
318,2022,6,15,6,5.63,86.84,14.87,Summer,1173,0.05
319,2022,6,15,7,5.74,71.84,15.6,Summer,1449,0.15
320,2022,6,15,8,5.43,97.68,16.48,Summer,1798,0.15
321,2022,6,15,9,4.83,175.95,17.56,Summer,1881,0.15
322,2022,6,15,10,3.91,281.88,18.85,Summer,1869,0.2
323,2022,6,15,11,3.16,316.17,20.15,Summer,2052,0.2
324,2022,6,15,12,3.16,293.04,21.33,Summer,1884,0.2
325,2022,6,15,13,3.79,280.12,22.13,Summer,1875,0.2
326,2022,6,15,14,4.56,264.52,22.51,Summer,1887,0.2
327,2022,6,15,15,5.36,193.96,22.3,Summer,1887,0.15
328,2022,6,15,16,6.01,119.37,21.6,Summer,1881,0.15
329,2022,6,15,17,6.13,58.55,20.65,Summer,1771,0.15
330,2022,6,15,18,5.9,22.98,19.26,Summer,1856,0.2
331,2022,6,15,19,5.86,0.0,18.26,Summer,1866,0.2
332,2022,6,15,20,6.12,0.0,18.01,Summer,1694,0.2
333,2022,6,15,21,6.5,0.0,17.91,Summer,1559,0.15
334,2022,6,15,22,6.6,0.0,17.85,Summer,1479,0.15
335,2022,6,15,23,6.28,0.0,17.77,Summer,1384,0.05
336,2022,6,16,0,5.78,0.0,17.66,Summer,1109,0.05
337,2022,6,16,1,5.42,0.0,17.58,Summer,1170,0.05
338,2022,6,16,2,5.45,0.0,17.45,Summer,1164,0.05
339,2022,6,16,3,5.77,0.0,17.21,Summer,1139,0.05
340,2022,6,16,4,5.97,20.82,17.02,Summer,1136,0.05
341,2022,6,16,5,5.59,92.09,17.31,Summer,1167,0.05
342,2022,6,16,6,5.37,228.38,17.96,Summer,1173,0.05
343,2022,6,16,7,5.17,407.09,19.2,Summer,1449,0.15
344,2022,6,16,8,4.59,640.06,20.58,Summer,1798,0.15
345,2022,6,16,9,3.81,761.41,21.74,Summer,1881,0.15
346,2022,6,16,10,3.34,774.48,22.57,Summer,1869,0.2
